,APT_ICAO,YEAR,MONTH_NUM,FLT_MEAN,FLT_MEAN_DEP,FLT_MEAN_ARR
251,LEPA,2023,12,298.83870967741933,149.2258064516129,149.61290322580646
252,LEPA,2024,1,276.4193548387097,138.41935483870967,138.0
253,LEPA,2024,2,308.86206896551727,154.31034482758622,154.55172413793105
254,LEPA,2024,3,398.93548387096774,198.8709677419355,200.06451612903226
255,LEPA,2024,4,710.8,355.73333333333335,355.06666666666666
256,LEPA,2024,5,871.0322580645161,435.0967741935484,435.93548387096774
257,LEPA,2024,6,945.7,473.1666666666667,472.53333333333336
258,LEPA,2024,7,1004.0322580645161,502.0967741935484,501.93548387096774
259,LEPA,2024,8,993.9354838709677,496.7741935483871,497.16129032258067
260,LEPA,2024,9,934.6,467.6666666666667,466.93333333333334
261,LEPA,2024,10,815.6774193548387,407.741935483871,407.93548387096774
262,LEPA,2024,11,353.56666666666666,177.2,176.36666666666667
263,LEPA,2024,12,305.51612903225805,152.41935483870967,153.09677419354838
264,LFPG,2023,1,1084.3548387096773,542.1290322580645,542.2258064516129
265,LFPG,2023,2,1114.5357142857142,557.4285714285714,557.1071428571429
266,LFPG,2023,3,1135.4193548387098,567.6774193548387,567.741935483871
267,LFPG,2023,4,1246.1,623.4333333333333,622.6666666666666
268,LFPG,2023,5,1297.2903225806451,648.483870967742,648.8064516129032
269,LFPG,2023,6,1335.8666666666666,668.1333333333333,667.7333333333333
270,LFPG,2023,7,1340.6129032258063,670.0322580645161,670.5806451612904
271,LFPG,2023,8,1351.5483870967741,675.7741935483871,675.7741935483871
272,LFPG,2023,9,1337.8333333333333,669.4333333333333,668.4
273,LFPG,2023,10,1312.967741935484,656.3548387096774,656.6129032258065
274,LFPG,2023,11,1195.0333333333333,597.6,597.4333333333333
275,LFPG,2023,12,1203.4193548387098,601.5806451612904,601.8387096774194
276,LFPG,2024,1,1031.5806451612902,515.4516129032259,516.1290322580645
277,LFPG,2024,2,1096.896551724138,548.7241379310345,548.1724137931035
278,LFPG,2024,3,1178.258064516129,589.6451612903226,588.6129032258065
